Format,2.0A,
Memory Length,5000,Memory Length,5000,Memory Length,5000,Memory Length,5000,
Trigger Level,6.80V,Trigger Level,6.80V,Trigger Level,6.80V,Trigger Level,6.80V,
Source,CH1,Source,CH2,Source,CH3,Source,CH4,
Label, ,Label, ,Label, ,Label, ,
Probe Ratio,1.000E+01,Probe Ratio,1.000E+01,Probe Ratio,1.000E+01,Probe Ratio,1.000E+01,
Vertical Units,V,Vertical Units,V,Vertical Units,V,Vertical Units,V,
Vertical Scale,1.000E+02,Vertical Scale,5.000E+01,Vertical Scale,5.000E-01,Vertical Scale,5.000E-01,
Vertical Position,1.960E+02,Vertical Position,2.000E+00,Vertical Position,-3.400E-01,Vertical Position,-1.160E+00,
Horizontal Units,S,Horizontal Units,S,Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,1.000E-05,Horizontal Scale,1.000E-05,Horizontal Scale,1.000E-05,Horizontal Scale,1.000E-05,
Horizontal Position,1.728E-04,Horizontal Position,1.728E-04,Horizontal Position,1.728E-04,Horizontal Position,1.728E-04,
Horizontal Mode,Main,Horizontal Mode,Main,Horizontal Mode,Main,Horizontal Mode,Main,
Sampling Period,2.000E-08,Sampling Period,2.000E-08,Sampling Period,2.000E-08,Sampling Period,2.000E-08,
Firmware,V1.13,Firmware,V1.13,Firmware,V1.13,Firmware,V1.13,
Time,16-Aug-16 12:55:26,Time,16-Aug-16 12:55:26,Time,16-Aug-16 12:55:26,Time,16-Aug-16 12:55:26,
Mode,Detail,Mode,Detail,Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,Waveform Data,,Waveform Data,,
1.511800e-04,0.000000,1.511800e-04,4.000000,1.511800e-04,0.040000,1.511800e-04,0.020000,
1.512000e-04,-4.000000,1.512000e-04,4.000000,1.512000e-04,0.060000,1.512000e-04,0.020000,
1.512200e-04,-4.000000,1.512200e-04,4.000000,1.512200e-04,0.040000,1.512200e-04,0.020000,
1.512400e-04,0.000000,1.512400e-04,4.000000,1.512400e-04,0.040000,1.512400e-04,0.020000,
1.512600e-04,-4.000000,1.512600e-04,4.000000,1.512600e-04,0.040000,1.512600e-04,0.020000,
1.512800e-04,-4.000000,1.512800e-04,4.000000,1.512800e-04,0.040000,1.512800e-04,0.020000,
1.513000e-04,-4.000000,1.513000e-04,4.000000,1.513000e-04,0.040000,1.513000e-04,0.000000,
1.513200e-04,-4.000000,1.513200e-04,4.000000,1.513200e-04,0.040000,1.513200e-04,0.020000,
1.513400e-04,-4.000000,1.513400e-04,4.000000,1.513400e-04,0.040000,1.513400e-04,0.020000,
1.513600e-04,-4.000000,1.513600e-04,4.000000,1.513600e-04,0.040000,1.513600e-04,0.020000,
1.513800e-04,-4.000000,1.513800e-04,6.000000,1.513800e-04,0.040000,1.513800e-04,0.020000,
1.514000e-04,-4.000000,1.514000e-04,4.000000,1.514000e-04,0.060000,1.514000e-04,0.020000,
1.514200e-04,-4.000000,1.514200e-04,6.000000,1.514200e-04,0.040000,1.514200e-04,0.020000,
1.514400e-04,-4.000000,1.514400e-04,6.000000,1.514400e-04,0.040000,1.514400e-04,0.020000,
1.514600e-04,0.000000,1.514600e-04,4.000000,1.514600e-04,0.040000,1.514600e-04,0.000000,
1.514800e-04,-4.000000,1.514800e-04,4.000000,1.514800e-04,0.040000,1.514800e-04,0.020000,
1.515000e-04,-4.000000,1.515000e-04,4.000000,1.515000e-04,0.040000,1.515000e-04,0.020000,
1.515200e-04,-4.000000,1.515200e-04,4.000000,1.515200e-04,0.040000,1.515200e-04,0.020000,
1.515400e-04,-4.000000,1.515400e-04,4.000000,1.515400e-04,0.040000,1.515400e-04,0.040000,
1.515600e-04,-4.000000,1.515600e-04,6.000000,1.515600e-04,0.060000,1.515600e-04,0.020000,
1.515800e-04,-4.000000,1.515800e-04,4.000000,1.515800e-04,0.040000,1.515800e-04,0.020000,
1.516000e-04,-4.000000,1.516000e-04,4.000000,1.516000e-04,0.040000,1.516000e-04,0.020000,
1.516200e-04,-4.000000,1.516200e-04,4.000000,1.516200e-04,0.040000,1.516200e-04,0.020000,
1.516400e-04,-4.000000,1.516400e-04,4.000000,1.516400e-04,0.040000,1.516400e-04,0.040000,
1.516600e-04,-4.000000,1.516600e-04,4.000000,1.516600e-04,0.040000,1.516600e-04,0.020000,
1.516800e-04,-4.000000,1.516800e-04,4.000000,1.516800e-04,0.040000,1.516800e-04,0.020000,
1.517000e-04,-4.000000,1.517000e-04,4.000000,1.517000e-04,0.040000,1.517000e-04,0.020000,
1.517200e-04,-4.000000,1.517200e-04,4.000000,1.517200e-04,0.040000,1.517200e-04,0.020000,
1.517400e-04,0.000000,1.517400e-04,4.000000,1.517400e-04,0.060000,1.517400e-04,0.020000,
1.517600e-04,-4.000000,1.517600e-04,4.000000,1.517600e-04,0.040000,1.517600e-04,0.020000,
1.517800e-04,-4.000000,1.517800e-04,4.000000,1.517800e-04,0.040000,1.517800e-04,0.020000,
1.518000e-04,-4.000000,1.518000e-04,4.000000,1.518000e-04,0.040000,1.518000e-04,0.020000,
1.518200e-04,-4.000000,1.518200e-04,4.000000,1.518200e-04,0.040000,1.518200e-04,0.020000,
1.518400e-04,-4.000000,1.518400e-04,4.000000,1.518400e-04,0.040000,1.518400e-04,0.020000,
1.518600e-04,-4.000000,1.518600e-04,4.000000,1.518600e-04,0.040000,1.518600e-04,0.020000,
1.518800e-04,-4.000000,1.518800e-04,4.000000,1.518800e-04,0.040000,1.518800e-04,0.020000,
1.519000e-04,-4.000000,1.519000e-04,4.000000,1.519000e-04,0.040000,1.519000e-04,0.020000,
1.519200e-04,-4.000000,1.519200e-04,4.000000,1.519200e-04,0.040000,1.519200e-04,0.020000,
1.519400e-04,-4.000000,1.519400e-04,4.000000,1.519400e-04,0.040000,1.519400e-04,0.020000,
1.519600e-04,-4.000000,1.519600e-04,4.000000,1.519600e-04,0.040000,1.519600e-04,0.020000,
1.519800e-04,-4.000000,1.519800e-04,4.000000,1.519800e-04,0.060000,1.519800e-04,0.020000,
1.520000e-04,-4.000000,1.520000e-04,4.000000,1.520000e-04,0.040000,1.520000e-04,0.020000,
1.520200e-04,0.000000,1.520200e-04,4.000000,1.520200e-04,0.060000,1.520200e-04,0.020000,
1.520400e-04,-4.000000,1.520400e-04,4.000000,1.520400e-04,0.040000,1.520400e-04,0.020000,
1.520600e-04,-4.000000,1.520600e-04,4.000000,1.520600e-04,0.040000,1.520600e-04,0.020000,
1.520800e-04,-4.000000,1.520800e-04,4.000000,1.520800e-04,0.040000,1.520800e-04,0.020000,
1.521000e-04,-4.000000,1.521000e-04,4.000000,1.521000e-04,0.040000,1.521000e-04,0.020000,
1.521200e-04,-4.000000,1.521200e-04,4.000000,1.521200e-04,0.040000,1.521200e-04,0.020000,
1.521400e-04,-4.000000,1.521400e-04,4.000000,1.521400e-04,0.040000,1.521400e-04,0.020000,
1.521600e-04,-4.000000,1.521600e-04,4.000000,1.521600e-04,0.040000,1.521600e-04,0.020000,
1.521800e-04,-4.000000,1.521800e-04,4.000000,1.521800e-04,0.040000,1.521800e-04,0.020000,
1.522000e-04,0.000000,1.522000e-04,4.000000,1.522000e-04,0.040000,1.522000e-04,0.020000,
1.522200e-04,-4.000000,1.522200e-04,4.000000,1.522200e-04,0.040000,1.522200e-04,0.020000,
1.522400e-04,-4.000000,1.522400e-04,4.000000,1.522400e-04,0.040000,1.522400e-04,0.020000,
1.522600e-04,-4.000000,1.522600e-04,4.000000,1.522600e-04,0.060000,1.522600e-04,0.020000,
1.522800e-04,-4.000000,1.522800e-04,4.000000,1.522800e-04,0.040000,1.522800e-04,0.020000,
1.523000e-04,-4.000000,1.523000e-04,4.000000,1.523000e-04,0.040000,1.523000e-04,0.020000,
1.523200e-04,-4.000000,1.523200e-04,4.000000,1.523200e-04,0.040000,1.523200e-04,0.020000,
1.523400e-04,-4.000000,1.523400e-04,4.000000,1.523400e-04,0.040000,1.523400e-04,0.020000,
1.523600e-04,-4.000000,1.523600e-04,4.000000,1.523600e-04,0.040000,1.523600e-04,0.020000,
1.523800e-04,-4.000000,1.523800e-04,4.000000,1.523800e-04,0.040000,1.523800e-04,0.020000,
1.524000e-04,-4.000000,1.524000e-04,4.000000,1.524000e-04,0.040000,1.524000e-04,0.020000,
1.524200e-04,-4.000000,1.524200e-04,4.000000,1.524200e-04,0.040000,1.524200e-04,0.020000,
1.524400e-04,-4.000000,1.524400e-04,4.000000,1.524400e-04,0.040000,1.524400e-04,0.020000,
1.524600e-04,0.000000,1.524600e-04,4.000000,1.524600e-04,0.040000,1.524600e-04,0.040000,
1.524800e-04,-4.000000,1.524800e-04,4.000000,1.524800e-04,0.060000,1.524800e-04,0.020000,
1.525000e-04,-4.000000,1.525000e-04,2.000000,1.525000e-04,0.040000,1.525000e-04,0.020000,
1.525200e-04,-4.000000,1.525200e-04,4.000000,1.525200e-04,0.040000,1.525200e-04,0.020000,
1.525400e-04,-4.000000,1.525400e-04,4.000000,1.525400e-04,0.040000,1.525400e-04,0.020000,
1.525600e-04,-4.000000,1.525600e-04,4.000000,1.525600e-04,0.040000,1.525600e-04,0.020000,
1.525800e-04,0.000000,1.525800e-04,4.000000,1.525800e-04,0.040000,1.525800e-04,0.020000,
1.526000e-04,-4.000000,1.526000e-04,2.000000,1.526000e-04,0.040000,1.526000e-04,0.020000,
1.526200e-04,-4.000000,1.526200e-04,2.000000,1.526200e-04,0.040000,1.526200e-04,0.020000,
1.526400e-04,-4.000000,1.526400e-04,4.000000,1.526400e-04,0.040000,1.526400e-04,0.020000,
1.526600e-04,-4.000000,1.526600e-04,2.000000,1.526600e-04,0.040000,1.526600e-04,0.020000,
1.526800e-04,-4.000000,1.526800e-04,2.000000,1.526800e-04,0.060000,1.526800e-04,0.020000,
1.527000e-04,-4.000000,1.527000e-04,2.000000,1.527000e-04,0.040000,1.527000e-04,0.020000,
1.527200e-04,-4.000000,1.527200e-04,4.000000,1.527200e-04,0.040000,1.527200e-04,0.020000,
1.527400e-04,-4.000000,1.527400e-04,4.000000,1.527400e-04,0.040000,1.527400e-04,0.020000,
1.527600e-04,-4.000000,1.527600e-04,2.000000,1.527600e-04,0.040000,1.527600e-04,0.000000,
1.527800e-04,0.000000,1.527800e-04,2.000000,1.527800e-04,0.040000,1.527800e-04,0.020000,
1.528000e-04,-4.000000,1.528000e-04,4.000000,1.528000e-04,0.040000,1.528000e-04,0.020000,
1.528200e-04,-4.000000,1.528200e-04,2.000000,1.528200e-04,0.040000,1.528200e-04,0.000000,
1.528400e-04,-4.000000,1.528400e-04,4.000000,1.528400e-04,0.040000,1.528400e-04,0.020000,
1.528600e-04,-4.000000,1.528600e-04,2.000000,1.528600e-04,0.040000,1.528600e-04,0.020000,
1.528800e-04,-4.000000,1.528800e-04,2.000000,1.528800e-04,0.040000,1.528800e-04,0.020000,
1.529000e-04,-4.000000,1.529000e-04,4.000000,1.529000e-04,0.040000,1.529000e-04,0.020000,
1.529200e-04,-4.000000,1.529200e-04,2.000000,1.529200e-04,0.040000,1.529200e-04,0.020000,
1.529400e-04,-4.000000,1.529400e-04,4.000000,1.529400e-04,0.040000,1.529400e-04,0.020000,
1.529600e-04,-4.000000,1.529600e-04,2.000000,1.529600e-04,0.040000,1.529600e-04,0.000000,
1.529800e-04,-4.000000,1.529800e-04,2.000000,1.529800e-04,0.040000,1.529800e-04,0.020000,
1.530000e-04,-4.000000,1.530000e-04,4.000000,1.530000e-04,0.040000,1.530000e-04,0.020000,
1.530200e-04,-4.000000,1.530200e-04,2.000000,1.530200e-04,0.040000,1.530200e-04,0.020000,
1.530400e-04,-4.000000,1.530400e-04,2.000000,1.530400e-04,0.040000,1.530400e-04,0.020000,
1.530600e-04,-4.000000,1.530600e-04,2.000000,1.530600e-04,0.040000,1.530600e-04,0.020000,
1.530800e-04,-4.000000,1.530800e-04,2.000000,1.530800e-04,0.040000,1.530800e-04,0.020000,
1.531000e-04,-4.000000,1.531000e-04,4.000000,1.531000e-04,0.040000,1.531000e-04,0.020000,
1.531200e-04,-4.000000,1.531200e-04,2.000000,1.531200e-04,0.040000,1.531200e-04,0.000000,
1.531400e-04,-4.000000,1.531400e-04,2.000000,1.531400e-04,0.040000,1.531400e-04,0.020000,
1.531600e-04,-4.000000,1.531600e-04,2.000000,1.531600e-04,0.040000,1.531600e-04,0.000000,
1.531800e-04,-4.000000,1.531800e-04,2.000000,1.531800e-04,0.040000,1.531800e-04,0.000000,
1.532000e-04,-4.000000,1.532000e-04,2.000000,1.532000e-04,0.040000,1.532000e-04,0.020000,
1.532200e-04,-4.000000,1.532200e-04,2.000000,1.532200e-04,0.040000,1.532200e-04,0.020000,
1.532400e-04,-4.000000,1.532400e-04,2.000000,1.532400e-04,0.040000,1.532400e-04,0.020000,
1.532600e-04,-4.000000,1.532600e-04,4.000000,1.532600e-04,0.040000,1.532600e-04,0.020000,
1.532800e-04,-4.000000,1.532800e-04,2.000000,1.532800e-04,0.040000,1.532800e-04,0.020000,
1.533000e-04,-4.000000,1.533000e-04,2.000000,1.533000e-04,0.020000,1.533000e-04,0.020000,
1.533200e-04,-4.000000,1.533200e-04,2.000000,1.533200e-04,0.040000,1.533200e-04,0.000000,
1.533400e-04,-4.000000,1.533400e-04,2.000000,1.533400e-04,0.040000,1.533400e-04,0.000000,
1.533600e-04,-4.000000,1.533600e-04,2.000000,1.533600e-04,0.040000,1.533600e-04,0.020000,
1.533800e-04,-4.000000,1.533800e-04,0.000000,1.533800e-04,0.040000,1.533800e-04,0.000000,
1.534000e-04,-4.000000,1.534000e-04,2.000000,1.534000e-04,0.040000,1.534000e-04,0.020000,
1.534200e-04,-4.000000,1.534200e-04,2.000000,1.534200e-04,0.040000,1.534200e-04,0.000000,
1.534400e-04,-4.000000,1.534400e-04,2.000000,1.534400e-04,0.040000,1.534400e-04,0.020000,
1.534600e-04,-4.000000,1.534600e-04,2.000000,1.534600e-04,0.040000,1.534600e-04,0.000000,
1.534800e-04,-4.000000,1.534800e-04,2.000000,1.534800e-04,0.040000,1.534800e-04,0.000000,
1.535000e-04,-4.000000,1.535000e-04,2.000000,1.535000e-04,0.040000,1.535000e-04,0.000000,
1.535200e-04,-4.000000,1.535200e-04,2.000000,1.535200e-04,0.040000,1.535200e-04,0.000000,
1.535400e-04,-4.000000,1.535400e-04,2.000000,1.535400e-04,0.040000,1.535400e-04,0.020000,
1.535600e-04,-4.000000,1.535600e-04,2.000000,1.535600e-04,0.040000,1.535600e-04,0.000000,
1.535800e-04,-4.000000,1.535800e-04,2.000000,1.535800e-04,0.040000,1.535800e-04,0.000000,
1.536000e-04,-4.000000,1.536000e-04,2.000000,1.536000e-04,0.040000,1.536000e-04,0.000000,
1.536200e-04,-4.000000,1.536200e-04,2.000000,1.536200e-04,0.040000,1.536200e-04,0.020000,
1.536400e-04,-4.000000,1.536400e-04,2.000000,1.536400e-04,0.040000,1.536400e-04,0.000000,
1.536600e-04,0.000000,1.536600e-04,2.000000,1.536600e-04,0.040000,1.536600e-04,0.000000,
1.536800e-04,-4.000000,1.536800e-04,0.000000,1.536800e-04,0.020000,1.536800e-04,0.000000,
1.537000e-04,-4.000000,1.537000e-04,0.000000,1.537000e-04,0.040000,1.537000e-04,0.000000,
1.537200e-04,-4.000000,1.537200e-04,2.000000,1.537200e-04,0.040000,1.537200e-04,0.000000,
1.537400e-04,-4.000000,1.537400e-04,2.000000,1.537400e-04,0.040000,1.537400e-04,0.000000,
1.537600e-04,-4.000000,1.537600e-04,2.000000,1.537600e-04,0.020000,1.537600e-04,0.000000,
1.537800e-04,-4.000000,1.537800e-04,0.000000,1.537800e-04,0.040000,1.537800e-04,0.000000,
1.538000e-04,-4.000000,1.538000e-04,0.000000,1.538000e-04,0.040000,1.538000e-04,0.000000,
1.538200e-04,-4.000000,1.538200e-04,0.000000,1.538200e-04,0.020000,1.538200e-04,0.000000,
1.538400e-04,-4.000000,1.538400e-04,0.000000,1.538400e-04,0.040000,1.538400e-04,0.000000,
1.538600e-04,-4.000000,1.538600e-04,0.000000,1.538600e-04,0.040000,1.538600e-04,0.000000,
1.538800e-04,-4.000000,1.538800e-04,0.000000,1.538800e-04,0.020000,1.538800e-04,0.000000,
1.539000e-04,-4.000000,1.539000e-04,0.000000,1.539000e-04,0.040000,1.539000e-04,0.000000,
1.539200e-04,-4.000000,1.539200e-04,2.000000,1.539200e-04,0.040000,1.539200e-04,0.020000,
1.539400e-04,-4.000000,1.539400e-04,0.000000,1.539400e-04,0.020000,1.539400e-04,0.000000,
1.539600e-04,-4.000000,1.539600e-04,0.000000,1.539600e-04,0.020000,1.539600e-04,0.000000,
1.539800e-04,-4.000000,1.539800e-04,0.000000,1.539800e-04,0.020000,1.539800e-04,0.000000,
1.540000e-04,-4.000000,1.540000e-04,2.000000,1.540000e-04,0.040000,1.540000e-04,0.000000,
1.540200e-04,-4.000000,1.540200e-04,0.000000,1.540200e-04,0.040000,1.540200e-04,0.000000,
1.540400e-04,-4.000000,1.540400e-04,0.000000,1.540400e-04,0.020000,1.540400e-04,0.000000,
1.540600e-04,-4.000000,1.540600e-04,0.000000,1.540600e-04,0.040000,1.540600e-04,0.000000,
1.540800e-04,-4.000000,1.540800e-04,2.000000,1.540800e-04,0.040000,1.540800e-04,0.000000,
1.541000e-04,-4.000000,1.541000e-04,0.000000,1.541000e-04,0.020000,1.541000e-04,0.000000,
1.541200e-04,-4.000000,1.541200e-04,2.000000,1.541200e-04,0.020000,1.541200e-04,0.000000,
1.541400e-04,-4.000000,1.541400e-04,0.000000,1.541400e-04,0.040000,1.541400e-04,0.000000,
1.541600e-04,-4.000000,1.541600e-04,0.000000,1.541600e-04,0.020000,1.541600e-04,0.000000,
1.541800e-04,-4.000000,1.541800e-04,0.000000,1.541800e-04,0.040000,1.541800e-04,0.000000,
1.542000e-04,-4.000000,1.542000e-04,0.000000,1.542000e-04,0.020000,1.542000e-04,0.000000,
1.542200e-04,-4.000000,1.542200e-04,0.000000,1.542200e-04,0.040000,1.542200e-04,0.000000,
1.542400e-04,-4.000000,1.542400e-04,0.000000,1.542400e-04,0.020000,1.542400e-04,0.000000,
1.542600e-04,-4.000000,1.542600e-04,0.000000,1.542600e-04,0.040000,1.542600e-04,0.000000,
1.542800e-04,-4.000000,1.542800e-04,0.000000,1.542800e-04,0.040000,1.542800e-04,0.000000,
1.543000e-04,-4.000000,1.543000e-04,0.000000,1.543000e-04,0.020000,1.543000e-04,0.000000,
1.543200e-04,-4.000000,1.543200e-04,0.000000,1.543200e-04,0.020000,1.543200e-04,0.000000,
1.543400e-04,-4.000000,1.543400e-04,0.000000,1.543400e-04,0.040000,1.543400e-04,0.000000,
1.543600e-04,-4.000000,1.543600e-04,0.000000,1.543600e-04,0.020000,1.543600e-04,-0.020000,
1.543800e-04,-4.000000,1.543800e-04,0.000000,1.543800e-04,0.020000,1.543800e-04,0.000000,
1.544000e-04,-4.000000,1.544000e-04,0.000000,1.544000e-04,0.020000,1.544000e-04,0.000000,
1.544200e-04,-4.000000,1.544200e-04,0.000000,1.544200e-04,0.020000,1.544200e-04,0.000000,
1.544400e-04,-4.000000,1.544400e-04,0.000000,1.544400e-04,0.020000,1.544400e-04,0.000000,
1.544600e-04,-4.000000,1.544600e-04,0.000000,1.544600e-04,0.020000,1.544600e-04,0.000000,
1.544800e-04,-4.000000,1.544800e-04,0.000000,1.544800e-04,0.020000,1.544800e-04,0.000000,
1.545000e-04,0.000000,1.545000e-04,0.000000,1.545000e-04,0.020000,1.545000e-04,0.000000,
1.545200e-04,-4.000000,1.545200e-04,0.000000,1.545200e-04,0.020000,1.545200e-04,0.000000,
1.545400e-04,-4.000000,1.545400e-04,0.000000,1.545400e-04,0.040000,1.545400e-04,0.000000,
1.545600e-04,-4.000000,1.545600e-04,0.000000,1.545600e-04,0.040000,1.545600e-04,0.000000,
1.545800e-04,-4.000000,1.545800e-04,0.000000,1.545800e-04,0.020000,1.545800e-04,0.000000,
1.546000e-04,-4.000000,1.546000e-04,0.000000,1.546000e-04,0.020000,1.546000e-04,0.000000,
1.546200e-04,-4.000000,1.546200e-04,0.000000,1.546200e-04,0.020000,1.546200e-04,0.000000,
1.546400e-04,-4.000000,1.546400e-04,0.000000,1.546400e-04,0.040000,1.546400e-04,0.000000,
1.546600e-04,-4.000000,1.546600e-04,0.000000,1.546600e-04,0.040000,1.546600e-04,0.000000,
1.546800e-04,-4.000000,1.546800e-04,0.000000,1.546800e-04,0.020000,1.546800e-04,0.000000,
1.547000e-04,-4.000000,1.547000e-04,0.000000,1.547000e-04,0.020000,1.547000e-04,0.000000,
1.547200e-04,-4.000000,1.547200e-04,0.000000,1.547200e-04,0.020000,1.547200e-04,0.000000,
1.547400e-04,-4.000000,1.547400e-04,-2.000000,1.547400e-04,0.020000,1.547400e-04,0.000000,
1.547600e-04,-4.000000,1.547600e-04,0.000000,1.547600e-04,0.040000,1.547600e-04,0.000000,
1.547800e-04,-4.000000,1.547800e-04,0.000000,1.547800e-04,0.020000,1.547800e-04,0.000000,
1.548000e-04,-4.000000,1.548000e-04,-2.000000,1.548000e-04,0.020000,1.548000e-04,0.000000,
1.548200e-04,-4.000000,1.548200e-04,0.000000,1.548200e-04,0.020000,1.548200e-04,0.000000,
1.548400e-04,-4.000000,1.548400e-04,0.000000,1.548400e-04,0.020000,1.548400e-04,0.000000,
1.548600e-04,-4.000000,1.548600e-04,-2.000000,1.548600e-04,0.020000,1.548600e-04,0.000000,
1.548800e-04,-4.000000,1.548800e-04,0.000000,1.548800e-04,0.020000,1.548800e-04,0.000000,
1.549000e-04,-4.000000,1.549000e-04,0.000000,1.549000e-04,0.020000,1.549000e-04,0.000000,
1.549200e-04,-4.000000,1.549200e-04,0.000000,1.549200e-04,0.020000,1.549200e-04,0.000000,
1.549400e-04,0.000000,1.549400e-04,0.000000,1.549400e-04,0.020000,1.549400e-04,0.000000,
1.549600e-04,-4.000000,1.549600e-04,-2.000000,1.549600e-04,0.020000,1.549600e-04,0.000000,
1.549800e-04,-4.000000,1.549800e-04,0.000000,1.549800e-04,0.020000,1.549800e-04,0.000000,
1.550000e-04,-4.000000,1.550000e-04,0.000000,1.550000e-04,0.020000,1.550000e-04,0.000000,
1.550200e-04,-4.000000,1.550200e-04,0.000000,1.550200e-04,0.020000,1.550200e-04,0.000000,
1.550400e-04,-4.000000,1.550400e-04,-2.000000,1.550400e-04,0.020000,1.550400e-04,-0.020000,
1.550600e-04,-4.000000,1.550600e-04,0.000000,1.550600e-04,0.020000,1.550600e-04,0.000000,
1.550800e-04,-4.000000,1.550800e-04,0.000000,1.550800e-04,0.020000,1.550800e-04,0.000000,
1.551000e-04,-4.000000,1.551000e-04,-2.000000,1.551000e-04,0.040000,1.551000e-04,0.000000,
1.551200e-04,-4.000000,1.551200e-04,0.000000,1.551200e-04,0.020000,1.551200e-04,-0.020000,
1.551400e-04,-4.000000,1.551400e-04,-2.000000,1.551400e-04,0.040000,1.551400e-04,0.000000,
1.551600e-04,-4.000000,1.551600e-04,-2.000000,1.551600e-04,0.020000,1.551600e-04,0.000000,
1.551800e-04,-4.000000,1.551800e-04,0.000000,1.551800e-04,0.020000,1.551800e-04,0.000000,
1.552000e-04,-4.000000,1.552000e-04,-2.000000,1.552000e-04,0.020000,1.552000e-04,0.000000,
1.552200e-04,-4.000000,1.552200e-04,-2.000000,1.552200e-04,0.020000,1.552200e-04,0.000000,
1.552400e-04,-4.000000,1.552400e-04,0.000000,1.552400e-04,0.020000,1.552400e-04,0.000000,
1.552600e-04,-4.000000,1.552600e-04,0.000000,1.552600e-04,0.020000,1.552600e-04,0.000000,
1.552800e-04,-4.000000,1.552800e-04,0.000000,1.552800e-04,0.020000,1.552800e-04,0.000000,
1.553000e-04,-4.000000,1.553000e-04,-2.000000,1.553000e-04,0.020000,1.553000e-04,0.000000,
1.553200e-04,-4.000000,1.553200e-04,-2.000000,1.553200e-04,0.020000,1.553200e-04,-0.020000,
1.553400e-04,-4.000000,1.553400e-04,0.000000,1.553400e-04,0.020000,1.553400e-04,0.000000,
1.553600e-04,-4.000000,1.553600e-04,0.000000,1.553600e-04,0.020000,1.553600e-04,0.000000,
1.553800e-04,-4.000000,1.553800e-04,-2.000000,1.553800e-04,0.020000,1.553800e-04,0.000000,
1.554000e-04,0.000000,1.554000e-04,-2.000000,1.554000e-04,0.020000,1.554000e-04,0.000000,
1.554200e-04,-4.000000,1.554200e-04,0.000000,1.554200e-04,0.020000,1.554200e-04,0.000000,
1.554400e-04,-4.000000,1.554400e-04,-2.000000,1.554400e-04,0.020000,1.554400e-04,-0.020000,
1.554600e-04,-4.000000,1.554600e-04,0.000000,1.554600e-04,0.020000,1.554600e-04,0.000000,
1.554800e-04,-4.000000,1.554800e-04,-2.000000,1.554800e-04,0.020000,1.554800e-04,0.000000,
1.555000e-04,-4.000000,1.555000e-04,0.000000,1.555000e-04,0.020000,1.555000e-04,0.000000,
1.555200e-04,-4.000000,1.555200e-04,-2.000000,1.555200e-04,0.020000,1.555200e-04,-0.020000,
1.555400e-04,-4.000000,1.555400e-04,0.000000,1.555400e-04,0.020000,1.555400e-04,0.000000,
1.555600e-04,-4.000000,1.555600e-04,0.000000,1.555600e-04,0.020000,1.555600e-04,0.000000,
1.555800e-04,-4.000000,1.555800e-04,0.000000,1.555800e-04,0.020000,1.555800e-04,0.000000,
1.556000e-04,-4.000000,1.556000e-04,-2.000000,1.556000e-04,0.020000,1.556000e-04,0.000000,
1.556200e-04,-4.000000,1.556200e-04,-2.000000,1.556200e-04,0.020000,1.556200e-04,0.000000,
1.556400e-04,-4.000000,1.556400e-04,-2.000000,1.556400e-04,0.020000,1.556400e-04,0.000000,
1.556600e-04,-4.000000,1.556600e-04,-2.000000,1.556600e-04,0.020000,1.556600e-04,-0.020000,
1.556800e-04,-4.000000,1.556800e-04,-2.000000,1.556800e-04,0.020000,1.556800e-04,-0.020000,
1.557000e-04,-4.000000,1.557000e-04,0.000000,1.557000e-04,0.020000,1.557000e-04,0.000000,
1.557200e-04,-4.000000,1.557200e-04,0.000000,1.557200e-04,0.000000,1.557200e-04,-0.020000,
1.557400e-04,-4.000000,1.557400e-04,-2.000000,1.557400e-04,0.020000,1.557400e-04,0.000000,
1.557600e-04,-4.000000,1.557600e-04,-2.000000,1.557600e-04,0.020000,1.557600e-04,0.000000,
1.557800e-04,-4.000000,1.557800e-04,-2.000000,1.557800e-04,0.020000,1.557800e-04,0.000000,
1.558000e-04,-4.000000,1.558000e-04,0.000000,1.558000e-04,0.020000,1.558000e-04,-0.020000,
1.558200e-04,-4.000000,1.558200e-04,-2.000000,1.558200e-04,0.020000,1.558200e-04,0.000000,
1.558400e-04,-4.000000,1.558400e-04,0.000000,1.558400e-04,0.020000,1.558400e-04,-0.020000,
1.558600e-04,-4.000000,1.558600e-04,-2.000000,1.558600e-04,0.020000,1.558600e-04,0.000000,
1.558800e-04,-4.000000,1.558800e-04,-2.000000,1.558800e-04,0.020000,1.558800e-04,-0.020000,
1.559000e-04,-4.000000,1.559000e-04,-2.000000,1.559000e-04,0.020000,1.559000e-04,0.000000,
1.559200e-04,-4.000000,1.559200e-04,-2.000000,1.559200e-04,0.020000,1.559200e-04,0.000000,
1.559400e-04,-4.000000,1.559400e-04,-2.000000,1.559400e-04,0.020000,1.559400e-04,0.000000,
1.559600e-04,-4.000000,1.559600e-04,-2.000000,1.559600e-04,0.020000,1.559600e-04,-0.020000,
1.559800e-04,-4.000000,1.559800e-04,-2.000000,1.559800e-04,0.020000,1.559800e-04,-0.020000,
1.560000e-04,-4.000000,1.560000e-04,0.000000,1.560000e-04,0.020000,1.560000e-04,0.000000,
1.560200e-04,-4.000000,1.560200e-04,0.000000,1.560200e-04,0.020000,1.560200e-04,-0.020000,
